delta,score_a,score_b,cluster_id,cluster_label,desc_len
-0.050353587,0.6016318,0.55127823,5,Frontend / Mobile,500
0.07040143,0.61986935,0.6902708,1,Data & Analytics,500
0.015458882,0.590767,0.6062259,6,Product Management,500
-0.042215824,0.66229564,0.6200798,1,Data & Analytics,500
-0.018177062,0.51128405,0.493107,5,Frontend / Mobile,500
-0.06261116,0.61213654,0.5495254,5,Frontend / Mobile,500
-0.049922287,0.65721184,0.60728955,5,Frontend / Mobile,5440
-0.029880404,0.64140564,0.61152524,6,Product Management,5818
-0.085988164,0.70647925,0.6204911,0,Data Engineering,500
-0.06202084,0.6425,0.58047915,0,Data Engineering,500
0.029852927,0.6919005,0.7217534,2,Machine Learning / AI,500
0.005758524,0.57817876,0.5839373,5,Frontend / Mobile,500
-0.045447946,0.6048202,0.55937225,0,Data Engineering,500
-0.044885993,0.5801815,0.5352955,3,DevOps / SRE / Cloud,500
-0.034564555,0.5818342,0.54726964,5,Frontend / Mobile,6316
-0.048024893,0.5914962,0.54347134,0,Data Engineering,500
-0.031751692,0.663411,0.6316593,1,Data & Analytics,500
-0.037708998,0.5922753,0.5545663,1,Data & Analytics,500
-0.021454334,0.6343585,0.6129042,1,Data & Analytics,500
0.03973192,0.5990249,0.6387568,2,Machine Learning / AI,500
-0.06656951,0.6189367,0.5523672,3,DevOps / SRE / Cloud,500
0.08435452,0.6370133,0.72136784,7,QA / Testing,500
0.048325658,0.6832069,0.7315326,2,Machine Learning / AI,500
-0.020700037,0.66635346,0.6456534,3,DevOps / SRE / Cloud,500
-0.009717524,0.6759336,0.6662161,0,Data Engineering,500
-0.07578343,0.68383867,0.60805523,0,Data Engineering,500
-0.0028752089,0.53342193,0.5305467,5,Frontend / Mobile,500
-0.050208807,0.5670571,0.51684827,5,Frontend / Mobile,500
-0.045470953,0.6920967,0.64662576,0,Data Engineering,500
-0.054193676,0.6273027,0.57310903,3,DevOps / SRE / Cloud,500
-0.019887507,0.5944152,0.5745277,3,DevOps / SRE / Cloud,500
-0.046114385,0.62839717,0.5822828,1,Data & Analytics,500
-0.04273969,0.60180306,0.5590634,3,DevOps / SRE / Cloud,500
-0.041475058,0.6182767,0.57680166,0,Data Engineering,500
-0.050429463,0.6966426,0.6462131,0,Data Engineering,500
0.02034074,0.54476225,0.565103,6,Product Management,5811
-0.02075541,0.66533715,0.64458174,5,Frontend / Mobile,6905
0.027124822,0.52721715,0.554342,5,Frontend / Mobile,500
0.09549379,0.62723804,0.7227318,7,QA / Testing,500
-0.026296556,0.6016814,0.57538486,5,Frontend / Mobile,500
-0.045684457,0.58608854,0.5404041,1,Data & Analytics,500
-0.009123623,0.6154053,0.6062817,5,Frontend / Mobile,500
0.056299865,0.6793877,0.73568755,2,Machine Learning / AI,500
-0.036615193,0.72048,0.68386483,5,Frontend / Mobile,7916
0.10343921,0.6675715,0.7710107,7,QA / Testing,500
-0.013295352,0.6165575,0.6032621,5,Frontend / Mobile,500
-0.041518092,0.6169787,0.5754606,0,Data Engineering,500
-0.08011341,0.7162536,0.63614017,3,DevOps / SRE / Cloud,500
-0.013847828,0.6180768,0.604229,0,Data Engineering,500
-0.013186574,0.5593135,0.5461269,5,Frontend / Mobile,500
0.024256349,0.67482054,0.6990769,7,QA / Testing,500
0.0008686781,0.6600243,0.66089296,6,Product Management,3964
-0.0017898679,0.60769874,0.6059089,1,Data & Analytics,500
0.007833779,0.56723076,0.57506454,1,Data & Analytics,500
-0.03550774,0.62216663,0.5866589,0,Data Engineering,500
-0.012318909,0.66414344,0.65182453,6,Product Management,4273
0.02685827,0.6612203,0.6880786,2,Machine Learning / AI,500
0.022252798,0.5609156,0.5831684,5,Frontend / Mobile,500
-0.02684784,0.6019868,0.575139,4,Backend Engineering,500
-0.038520783,0.5247701,0.4862493,5,Frontend / Mobile,388
0.08823705,0.57273024,0.6609673,7,QA / Testing,500
0.018628776,0.6188424,0.6374712,7,QA / Testing,500
-0.044106603,0.6573619,0.6132553,0,Data Engineering,500
0.08291209,0.5302406,0.6131527,5,Frontend / Mobile,500
-0.0321694,0.61199296,0.57982355,1,Data & Analytics,500
0.0519377,0.614612,0.6665497,7,QA / Testing,500
-0.05750674,0.63586575,0.578359,0,Data Engineering,500
0.061188877,0.5628906,0.62407947,1,Data & Analytics,4301
0.0014483929,0.630603,0.6320514,5,Frontend / Mobile,500
0.011141241,0.5645463,0.5756875,1,Data & Analytics,500
-0.060884714,0.61521894,0.5543342,5,Frontend / Mobile,500
-0.07720381,0.6854169,0.60821307,3,DevOps / SRE / Cloud,500
0.021749794,0.67632985,0.69807965,2,Machine Learning / AI,500
-0.030751824,0.6680876,0.6373358,0,Data Engineering,500
-0.0047258735,0.651421,0.64669514,7,QA / Testing,500
-0.049179435,0.6573527,0.60817325,5,Frontend / Mobile,500
-0.017603457,0.6581408,0.6405373,1,Data & Analytics,10441
-0.005508542,0.61672664,0.6112181,1,Data & Analytics,500
-0.071331084,0.6808233,0.60949224,0,Data Engineering,500
0.00249362,0.5824361,0.5849297,1,Data & Analytics,500
-0.04110384,0.73485404,0.6937502,2,Machine Learning / AI,6974
0.00819999,0.6317704,0.63997036,3,DevOps / SRE / Cloud,429
0.061739564,0.5947091,0.65644866,2,Machine Learning / AI,500
0.014312506,0.6408,0.6551125,6,Product Management,4594
-0.05794573,0.6656963,0.6077506,1,Data & Analytics,6818
-0.052069306,0.6309706,0.5789013,5,Frontend / Mobile,500
-0.11454296,0.73922825,0.6246853,4,Backend Engineering,500
